                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.22503,                0.43386,                0.15926,                 0.9544,                0.90864,                0.94712,                0.81965,                0.20156,                0.36027,                0.22039,             0.00055142,             0.00055142,             0.00055142
                     25,                0.21258,                0.44499,                0.15518,                0.94956,                0.90167,                0.94014,                0.81058,                0.19337,                0.38195,                0.18974,             0.00054435,             0.00054435,             0.00054435
                     26,                0.22145,                0.43577,                0.16152,                0.93795,                0.89513,                 0.9443,                0.82447,                0.19839,                0.36866,                0.19445,             0.00053728,             0.00053728,             0.00053728
                     27,                0.22804,                0.40724,                0.15639,                0.96584,                0.90412,                0.93969,                0.82628,                0.18767,                0.35774,                0.20431,             0.00053022,             0.00053022,             0.00053022
                     28,                0.20881,                0.41428,                0.14317,                0.94616,                0.91096,                 0.9476,                0.83672,                0.18432,                0.35049,                0.17984,             0.00052315,             0.00052315,             0.00052315
                     29,                0.20783,                0.39203,                0.15212,                0.97706,                0.92713,                0.95198,                0.83617,                0.19286,                 0.3172,                0.18178,             0.00051608,             0.00051608,             0.00051608
                     30,                0.20715,                0.40529,                0.15593,                0.95965,                0.90639,                0.93438,                0.82411,                0.19417,                  0.337,                0.19528,             0.00050901,             0.00050901,             0.00050901
                     31,                0.21208,                 0.3879,                0.15034,                0.94948,                0.90696,                0.92346,                0.80965,                0.19397,                0.38237,                0.20318,             0.00050194,             0.00050194,             0.00050194
                     32,                0.19725,                0.40345,                0.14172,                0.95942,                0.89016,                 0.9198,                0.81076,                0.18894,                0.37461,                0.19039,             0.00049487,             0.00049487,             0.00049487
                     33,                0.20507,                0.39441,                0.14419,                0.96471,                0.91506,                0.93792,                0.82968,                0.18008,                 0.3541,                0.18527,              0.0004878,              0.0004878,              0.0004878
                     34,                0.21201,                0.38227,                0.14828,                0.95302,                0.91734,                0.93241,                0.82154,                0.19077,                0.35645,                0.20172,             0.00048074,             0.00048074,             0.00048074
                     35,                0.20184,                0.39663,                0.14258,                0.96567,                0.91468,                0.94227,                0.83663,                0.17355,                0.31218,                0.16865,             0.00047367,             0.00047367,             0.00047367
                     36,                0.20163,                0.36802,                   0.14,                0.95649,                 0.9172,                0.94236,                0.82527,                0.18596,                0.32443,                0.19115,              0.0004666,              0.0004666,              0.0004666
                     37,                0.20415,                0.38449,                0.14273,                0.96732,                0.89058,                 0.9301,                0.82482,                0.18338,                0.34224,                0.18876,             0.00045953,             0.00045953,             0.00045953
                     38,                0.19745,                0.37886,                0.13538,                0.93744,                0.91527,                0.93037,                0.81556,                0.19267,                0.40413,                0.22278,             0.00045246,             0.00045246,             0.00045246
                     39,                0.20243,                0.37073,                0.14232,                0.95215,                  0.929,                0.93894,                0.83956,                0.18027,                0.33753,                0.18932,             0.00044539,             0.00044539,             0.00044539
                     40,                0.18785,                0.35429,                0.12522,                0.97086,                0.92701,                0.94001,                0.82231,                0.19042,                0.34051,                0.21075,             0.00043832,             0.00043832,             0.00043832
                     41,                0.18469,                0.36199,                0.12229,                0.95664,                0.91406,                0.93796,                0.82647,                0.18682,                0.33385,                 0.1981,             0.00043126,             0.00043126,             0.00043126
                     42,                0.19759,                 0.3752,                0.13465,                0.96718,                0.91269,                 0.9328,                0.83462,                0.16999,                0.35788,                0.16734,             0.00042419,             0.00042419,             0.00042419
                     43,                 0.1905,                0.34066,                0.13351,                0.96994,                 0.9174,                0.94246,                0.83514,                0.17812,                0.30742,                0.16879,             0.00041712,             0.00041712,             0.00041712
                     44,                0.18056,                0.34068,                0.12914,                  0.969,                0.91575,                0.94753,                0.85246,                0.16721,                0.32711,                0.16415,             0.00041005,             0.00041005,             0.00041005
                     45,                0.18742,                 0.3602,                0.13851,                0.98094,                0.89655,                 0.9237,                0.82512,                0.17639,                0.31629,                0.17144,             0.00040298,             0.00040298,             0.00040298
                     46,                0.18642,                0.36668,                0.12499,                 0.9763,                0.90859,                0.93797,                0.84242,                0.17523,                0.29128,                0.16835,             0.00039591,             0.00039591,             0.00039591
                     47,                0.18643,                0.34187,                0.12621,                0.96846,                0.91767,                0.92979,                0.83125,                0.17043,                0.32887,                0.16784,             0.00038884,             0.00038884,             0.00038884
                     48,                0.17477,                0.35029,                0.12013,                0.95343,                0.91889,                0.93634,                  0.833,                0.17392,                0.35415,                 0.1845,             0.00038178,             0.00038178,             0.00038178
                     49,                0.17996,                 0.3274,                0.12246,                0.96903,                0.90992,                0.92142,                 0.8139,                0.18604,                0.35362,                0.21274,             0.00037471,             0.00037471,             0.00037471
                     50,                0.18437,                0.33522,                0.12516,                0.96092,                0.92166,                0.93772,                0.83325,                0.17651,                0.31621,                0.18756,             0.00036764,             0.00036764,             0.00036764
                     51,                0.17905,                 0.3108,                 0.1196,                0.93986,                0.93594,                0.94346,                0.83795,                0.17345,                0.33555,                0.19017,             0.00036057,             0.00036057,             0.00036057
                     52,                0.18022,                0.33537,                0.12775,                    nan,                 0.9718,                0.92675,                0.81908,                    nan,                    nan,                    nan,              0.0003535,              0.0003535,              0.0003535
                     53,                0.17323,                0.33489,                0.12098,                0.95973,                0.89698,                0.92561,                0.82674,                0.16587,                0.33383,                0.17734,             0.00034643,             0.00034643,             0.00034643
                     54,                0.18945,                0.34367,                0.12461,                0.97217,                0.91039,                0.93287,                0.83799,                0.17389,                0.31338,                  0.175,             0.00033936,             0.00033936,             0.00033936
                     55,                0.17144,                0.33477,                0.11335,                0.96192,                0.90157,                0.92649,                0.82862,                0.16085,                0.31394,                0.17203,              0.0003323,              0.0003323,              0.0003323
                     56,                0.16239,                0.30772,                0.11301,                0.95447,                0.90694,                0.92614,                0.82002,                0.17045,                0.35087,                0.18498,             0.00032523,             0.00032523,             0.00032523
                     57,                0.17583,                0.32831,                0.11695,                0.98051,                0.91881,                 0.9416,                0.84618,                0.16576,                0.31655,                0.17607,             0.00031816,             0.00031816,             0.00031816
                     58,                 0.1763,                0.31451,                0.11539,                0.97445,                0.90037,                0.92515,                0.82753,                0.16644,                0.32799,                0.18136,             0.00031109,             0.00031109,             0.00031109
                     59,                0.16156,                0.30932,                0.11072,                0.97881,                0.92527,                0.94306,                0.83925,                0.16851,                0.30545,                 0.1705,             0.00030402,             0.00030402,             0.00030402
                     60,                0.16945,                  0.331,                 0.1096,                 0.9641,                0.93003,                0.94174,                0.84144,                0.17325,                0.32971,                0.18378,             0.00029695,             0.00029695,             0.00029695
                     61,                0.17016,                 0.3161,                0.12139,                0.95795,                0.91862,                0.94139,                0.84413,                0.16396,                0.31909,                0.18395,             0.00028988,             0.00028988,             0.00028988
                     62,                0.15897,                0.30255,                0.10403,                0.95548,                 0.9208,                0.94017,                0.84124,                0.16639,                0.34281,                0.18088,             0.00028282,             0.00028282,             0.00028282
                     63,                0.17341,                0.31967,                0.11311,                0.97338,                0.91722,                0.93578,                0.83561,                 0.1704,                 0.3358,                 0.1871,             0.00027575,             0.00027575,             0.00027575
                     64,                 0.1499,                0.30556,                 0.1092,                 0.9638,                0.91892,                0.93716,                0.83763,                0.16573,                0.31707,                0.17137,             0.00026868,             0.00026868,             0.00026868
                     65,                0.16663,                0.31041,                0.10531,                0.95336,                0.93732,                0.94688,                0.83785,                0.17395,                0.32166,                0.19018,             0.00026161,             0.00026161,             0.00026161
                     66,                0.16461,                0.28957,                 0.1099,                0.94468,                0.90788,                0.94083,                0.84303,                0.16998,                0.33628,                0.18137,             0.00025454,             0.00025454,             0.00025454
                     67,                0.15838,                0.28539,                0.10334,                0.97446,                0.90254,                0.93856,                0.83908,                0.16823,                0.33259,                0.18075,             0.00024747,             0.00024747,             0.00024747
                     68,                0.17131,                0.31311,                  0.105,                0.96344,                0.89705,                0.92308,                0.83126,                0.16055,                0.33175,                0.15186,              0.0002404,              0.0002404,              0.0002404
                     69,                0.15841,                0.29111,                0.10763,                0.97374,                0.91877,                0.93904,                0.84112,                0.16847,                0.30546,                0.16434,             0.00023334,             0.00023334,             0.00023334
                     70,                0.15098,                0.28273,                0.10656,                0.97731,                0.92214,                0.94237,                0.83963,                0.17104,                 0.2974,                0.17583,             0.00022627,             0.00022627,             0.00022627
                     71,                0.16201,                  0.293,                0.10677,                0.97419,                0.90718,                0.94235,                 0.8491,                0.16379,                 0.3041,                0.15966,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.1608,                0.29232,                0.10966,                0.96928,                0.90098,                0.92026,                0.82311,                0.17231,                0.31763,                 0.1772,             0.00021213,             0.00021213,             0.00021213
                     73,                0.16103,                0.27936,                0.10236,                0.96284,                0.91855,                0.93546,                0.83661,                0.16649,                0.30985,                0.16157,             0.00020506,             0.00020506,             0.00020506
                     74,                0.15011,                0.28495,                0.10434,                0.96626,                0.91872,                0.93101,                0.83236,                0.17411,                0.32336,                0.17401,             0.00019799,             0.00019799,             0.00019799
                     75,                0.15381,                0.27886,                0.10833,                0.98407,                 0.9175,                0.94403,                0.84864,                0.16681,                0.30797,                0.16525,             0.00019092,             0.00019092,             0.00019092
                     76,                0.16059,                0.28379,                0.10383,                0.97837,                0.91839,                0.94079,                0.83949,                0.16599,                0.29779,                0.17259,             0.00018385,             0.00018385,             0.00018385
                     77,                0.15815,                0.27523,                0.10425,                0.98483,                0.91831,                 0.9406,                0.83996,                0.17201,                0.32128,                0.17275,             0.00017679,             0.00017679,             0.00017679
                     78,                 0.1477,                0.26967,                0.09279,                0.97815,                0.91907,                0.93942,                0.84577,                0.16427,                0.31563,                0.16737,             0.00016972,             0.00016972,             0.00016972
                     79,                0.14304,                 0.2659,                0.09524,                0.97691,                0.91477,                0.94561,                0.84735,                0.16566,                0.28924,                0.16996,             0.00016265,             0.00016265,             0.00016265
                     80,                0.14552,                0.26396,                0.09867,                 0.9665,                0.92919,                0.94606,                0.85453,                0.16293,                0.29112,                0.16054,             0.00015558,             0.00015558,             0.00015558
                     81,                0.14912,                0.25393,                0.09547,                0.96611,                0.92057,                0.94061,                0.84777,                0.16429,                0.30169,                0.16472,             0.00014851,             0.00014851,             0.00014851
                     82,                0.15656,                0.27314,                 0.1022,                0.97469,                0.91861,                0.93985,                0.84375,                0.16984,                0.30951,                0.17256,             0.00014144,             0.00014144,             0.00014144
                     83,                0.14288,                 0.2519,                0.09216,                0.97584,                0.91995,                0.93734,                0.84161,                0.17224,                0.33149,                0.17324,             0.00013437,             0.00013437,             0.00013437
                     84,                0.14636,                 0.2523,                0.10062,                0.97541,                 0.9092,                0.93307,                0.83056,                0.16686,                0.31753,                0.17226,             0.00012731,             0.00012731,             0.00012731
                     85,                0.14397,                0.25858,                0.09368,                 0.9763,                0.92094,                0.94211,                0.84959,                0.16537,                0.30883,                0.16734,             0.00012024,             0.00012024,             0.00012024
                     86,                0.13929,                 0.2538,                0.09375,                0.98087,                0.93267,                 0.9495,                0.84933,                0.16705,                0.29909,                  0.176,             0.00011317,             0.00011317,             0.00011317
                     87,                 0.1366,                0.25262,                0.09441,                0.97734,                0.92594,                0.94153,                0.84968,                0.16613,                 0.3021,                0.16497,              0.0001061,              0.0001061,              0.0001061
                     88,                0.14453,                0.24922,                0.09038,                0.97859,                 0.9058,                 0.9232,                 0.8279,                 0.1661,                0.31936,                0.17154,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.14178,                0.25299,                0.09409,                0.96738,                0.93001,                0.94572,                0.84947,                  0.163,                0.30256,                0.16407,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.13878,                0.24971,                  0.092,                0.97661,                0.91995,                0.94473,                0.84876,                0.16113,                0.30593,                0.16259,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.09438,                0.16473,                0.06264,                0.97066,                0.92565,                 0.9398,                0.84994,                0.15955,                0.29776,                0.15517,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.0928,                0.16017,                0.06292,                0.96919,                0.92446,                0.93774,                0.85177,                 0.1599,                0.29843,                 0.1576,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.08918,                0.15557,                0.05969,                0.96334,                0.91664,                0.92733,                0.83999,                0.16291,                0.29743,                0.16185,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.09021,                0.15789,                0.06302,                0.96785,                0.92965,                0.93939,                0.84637,                0.16411,                0.29759,                0.16455,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.08771,                0.15637,                0.05955,                0.97166,                0.92969,                0.93937,                0.84828,                0.16277,                0.29367,                0.16151,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.09019,                0.15424,                 0.0588,                0.97446,                 0.9274,                0.94195,                0.84663,                0.16439,                0.29232,                0.16281,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                  0.085,                 0.1489,                0.05581,                0.97402,                0.92819,                0.94518,                   0.85,                0.16484,                0.29224,                0.16355,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.08521,                0.14786,                0.05387,                0.98729,                0.92634,                0.94517,                0.85057,                 0.1656,                0.29504,                0.16724,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 0.0855,                0.14815,                0.05643,                0.98176,                0.92311,                 0.9456,                0.85266,                0.16294,                0.29468,                0.16546,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.09207,                0.15258,                0.05683,                0.97006,                0.92792,                0.94508,                0.84963,                0.16273,                0.29751,                0.16343,             1.4209e-05,             1.4209e-05,             1.4209e-05
