                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9827,                 2.6535,                 1.3142,                0.63554,                0.58382,                0.59027,                0.37681,                0.94552,                 4.5493,                   1.47,             0.00023397,             0.00023397,             0.00023397
                      2,                 1.0851,                 1.8428,                 1.3556,                0.12185,                0.37377,                0.11141,                0.05979,                 1.6894,                    inf,                 2.9503,             0.00046262,             0.00046262,             0.00046262
                      3,                 1.1846,                 1.7112,                 1.3984,                0.60752,                0.44204,                0.49568,                0.28095,                 1.4486,                 3.9051,                 2.1402,             0.00068185,             0.00068185,             0.00068185
                      4,                 1.1879,                 1.7278,                 1.3886,                0.54426,                0.51598,                0.50246,                0.30902,                 1.3483,                 2.8041,                 1.7003,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.1421,                 1.5388,                  1.365,                0.66065,                0.54144,                0.59831,                0.39881,                 1.1437,                  1.896,                 1.4473,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.1042,                 1.4759,                 1.3416,                0.69188,                0.60126,                0.64763,                 0.4292,                 1.2368,                 1.6908,                 1.4409,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.0812,                   1.36,                 1.3205,                0.61063,                 0.6959,                0.68009,                0.46143,                 1.1529,                 1.4263,                 1.4505,             0.00062918,             0.00062918,             0.00062918
                      8,                 0.9854,                 1.1941,                 1.2573,                0.81519,                0.67152,                0.77952,                0.57372,                0.98245,                 1.2034,                 1.2609,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.0009,                 1.2038,                 1.2667,                0.80647,                0.75524,                0.80842,                0.61404,                0.90398,                 1.0185,                 1.2405,              0.0006009,              0.0006009,              0.0006009
                     10,                0.95211,                 1.1267,                 1.2457,                0.81395,                0.76928,                0.82284,                0.61855,                0.91871,                  1.084,                 1.2208,             0.00058677,             0.00058677,             0.00058677
                     11,                0.91716,                 1.0566,                 1.2225,                0.83896,                0.78021,                0.83981,                0.65174,                0.85131,                0.99211,                 1.1572,             0.00057263,             0.00057263,             0.00057263
                     12,                0.87139,                0.99392,                 1.2045,                0.86145,                0.77404,                0.85229,                0.67377,                0.81557,                0.90012,                 1.1266,             0.00055849,             0.00055849,             0.00055849
                     13,                0.87797,                0.96837,                 1.1844,                0.86985,                0.78074,                0.86666,                0.68867,                0.79416,                0.79933,                 1.1538,             0.00054435,             0.00054435,             0.00054435
                     14,                0.84729,                0.93465,                 1.1658,                0.92209,                0.81974,                0.89407,                  0.697,                0.83743,                0.72282,                 1.1904,             0.00053022,             0.00053022,             0.00053022
                     15,                 0.8006,                0.89339,                 1.1443,                0.91529,                0.84449,                0.90239,                 0.7321,                0.74128,                0.71583,                  1.086,             0.00051608,             0.00051608,             0.00051608
                     16,                0.78365,                0.84723,                 1.1426,                0.95223,                0.84859,                0.91132,                0.72252,                0.79116,                 0.6802,                 1.1015,             0.00050194,             0.00050194,             0.00050194
                     17,                0.77158,                0.82067,                 1.1293,                0.89211,                0.85052,                0.89674,                0.73433,                0.71498,                0.66202,                 1.0995,              0.0004878,              0.0004878,              0.0004878
                     18,                 0.7787,                0.81583,                 1.1354,                0.95082,                0.87731,                0.92558,                0.77226,                0.68265,                0.60057,                 1.0646,             0.00047367,             0.00047367,             0.00047367
                     19,                0.74136,                0.77556,                 1.1219,                0.90582,                0.84187,                0.91211,                0.76423,                0.66371,                0.60131,                 1.0467,             0.00045953,             0.00045953,             0.00045953
                     20,                0.72515,                0.71287,                 1.1042,                0.91065,                 0.8726,                0.91738,                0.75944,                0.68022,                0.56349,                 1.0373,             0.00044539,             0.00044539,             0.00044539
                     21,                0.72433,                0.72252,                 1.1011,                0.95233,                0.88169,                0.93074,                0.77043,                0.69011,                0.53682,                 1.0492,             0.00043126,             0.00043126,             0.00043126
                     22,                0.72094,                0.70241,                 1.1045,                0.94118,                0.87043,                0.92261,                0.77951,                0.65127,                0.54492,                 1.0385,             0.00041712,             0.00041712,             0.00041712
                     23,                0.68978,                0.67627,                 1.0741,                0.95653,                 0.8556,                0.91985,                0.76626,                 0.6542,                0.53981,                 1.0302,             0.00040298,             0.00040298,             0.00040298
                     24,                0.67544,                0.66486,                 1.0759,                0.94688,                0.89675,                0.94478,                0.80584,                0.62949,                0.48209,                  1.008,             0.00038884,             0.00038884,             0.00038884
