                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65451,                0.62453,                 1.0689,                0.92877,                0.88394,                0.92985,                0.79479,                0.60408,                0.49471,                 1.0147,             0.00047367,             0.00047367,             0.00047367
                     36,                0.66122,                0.61074,                  1.072,                0.95603,                0.88988,                0.94669,                0.81133,                0.59722,                0.44708,                0.99317,              0.0004666,              0.0004666,              0.0004666
                     37,                0.63835,                 0.6054,                 1.0621,                 0.9397,                 0.9057,                0.94125,                0.79019,                0.62365,                0.50511,                 1.0054,             0.00045953,             0.00045953,             0.00045953
                     38,                0.63261,                0.58493,                 1.0599,                0.96695,                0.87913,                0.94586,                0.80332,                0.61238,                 0.4576,                 1.0029,             0.00045246,             0.00045246,             0.00045246
                     39,                0.62556,                0.58598,                 1.0489,                0.96162,                0.87722,                0.94299,                0.81355,                0.57679,                0.43893,                 0.9653,             0.00044539,             0.00044539,             0.00044539
                     40,                0.60016,                0.55862,                 1.0333,                0.94887,                0.90362,                0.94882,                0.81547,                 0.5647,                0.44163,                0.97744,             0.00043832,             0.00043832,             0.00043832
                     41,                0.59177,                0.55016,                 1.0301,                0.94714,                 0.8813,                0.93414,                0.79627,                0.59297,                0.44695,                0.96848,             0.00043126,             0.00043126,             0.00043126
                     42,                0.60019,                0.55654,                 1.0376,                0.95205,                0.89183,                0.93842,                0.82279,                0.54323,                0.42953,                0.95576,             0.00042419,             0.00042419,             0.00042419
                     43,                0.61954,                0.57654,                  1.041,                0.97772,                0.88946,                0.94465,                 0.8069,                0.58926,                0.43492,                 0.9925,             0.00041712,             0.00041712,             0.00041712
                     44,                0.59775,                0.53566,                 1.0283,                0.96479,                0.88535,                0.94286,                0.80968,                0.58953,                0.43533,                0.97063,             0.00041005,             0.00041005,             0.00041005
                     45,                0.57938,                 0.5232,                 1.0184,                0.93671,                 0.9268,                0.95267,                0.81197,                0.60817,                0.42731,                0.98555,             0.00040298,             0.00040298,             0.00040298
                     46,                0.56485,                0.50951,                 1.0143,                0.95465,                0.90793,                0.94658,                0.81285,                0.56683,                0.41029,                0.97527,             0.00039591,             0.00039591,             0.00039591
                     47,                0.56466,                0.50617,                 1.0156,                0.97694,                0.88861,                 0.9459,                0.81329,                0.56909,                0.43241,                0.96936,             0.00038884,             0.00038884,             0.00038884
                     48,                0.56963,                0.51739,                 1.0148,                0.96102,                0.90114,                0.94946,                0.82231,                 0.5849,                0.41365,                 0.9958,             0.00038178,             0.00038178,             0.00038178
                     49,                0.56656,                0.49933,                 1.0048,                0.96846,                0.89793,                0.94077,                0.82485,                0.54622,                0.41205,                0.97463,             0.00037471,             0.00037471,             0.00037471
                     50,                0.56006,                0.50619,                  1.013,                0.98945,                0.89034,                0.93842,                0.81436,                 0.5597,                0.39831,                0.97155,             0.00036764,             0.00036764,             0.00036764
                     51,                0.55122,                0.49056,                 1.0161,                0.94565,                0.91899,                0.93423,                0.81857,                0.53761,                0.42231,                0.95687,             0.00036057,             0.00036057,             0.00036057
                     52,                0.54734,                0.49519,                   1.01,                0.94178,                0.89563,                0.93122,                0.81029,                 0.5865,                0.42546,                0.99056,              0.0003535,              0.0003535,              0.0003535
