                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.17651,                0.30613,                0.12221,                0.97492,                0.92239,                0.93323,                0.84611,                0.16671,                0.30529,                0.17054,              0.0002192,              0.0002192,              0.0002192
                     37,                0.17745,                0.31771,                0.11636,                0.98457,                0.90156,                0.94091,                0.84102,                0.16867,                0.30822,                0.16402,             0.00020506,             0.00020506,             0.00020506
                     38,                0.16945,                0.30834,                0.11462,                0.97861,                  0.919,                0.93699,                0.83734,                0.16462,                0.30504,                0.17046,             0.00019092,             0.00019092,             0.00019092
                     39,                0.18042,                0.31252,                0.12703,                0.96757,                0.92415,                0.93738,                 0.8402,                0.16643,                0.30433,                0.16267,             0.00017679,             0.00017679,             0.00017679
                     40,                 0.1655,                 0.2921,                0.10668,                0.97806,                0.90946,                0.94109,                 0.8384,                0.17718,                0.29989,                  0.172,             0.00016265,             0.00016265,             0.00016265
                     41,                0.11434,                0.19129,                0.08379,                0.97473,                0.91696,                0.94367,                0.84974,                0.16848,                0.29756,                0.16546,             0.00014851,             0.00014851,             0.00014851
                     42,                0.11747,                0.18755,                0.08077,                 0.9788,                0.93021,                0.95012,                0.86354,                0.15196,                0.28446,                0.13651,             0.00013437,             0.00013437,             0.00013437
                     43,                0.11529,                0.18326,                0.07574,                 0.9732,                0.93182,                0.94831,                0.85153,                0.16697,                0.28506,                 0.1589,             0.00012024,             0.00012024,             0.00012024
                     44,                0.11864,                0.18617,                0.07933,                0.97656,                0.93565,                0.95115,                0.85383,                0.15854,                 0.2899,                0.15211,              0.0001061,              0.0001061,              0.0001061
                     45,                0.11052,                0.17553,                0.07217,                0.97719,                0.93263,                 0.9535,                0.85674,                0.14956,                 0.2871,                0.13985,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.10623,                0.17688,                0.07187,                0.97601,                0.93715,                0.95476,                0.85619,                0.15026,                0.28177,                0.14723,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.10949,                0.17838,                0.07017,                0.97442,                0.93092,                0.95229,                0.86267,                0.15078,                0.27408,                0.14089,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.10902,                0.18051,                0.06886,                 0.9744,                0.92922,                0.94926,                0.85137,                0.14916,                0.28285,                0.13903,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.10132,                0.16837,                0.06825,                 0.9715,                0.93972,                0.95571,                0.85634,                0.15238,                0.27908,                0.15032,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.10245,                0.16549,                0.06901,                  0.969,                0.93889,                0.95508,                0.85907,                0.15229,                0.27837,                0.14949,             2.1277e-05,             2.1277e-05,             2.1277e-05
