                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56791,                0.53551,                0.97289,                0.95735,                0.89205,                 0.9329,                0.80634,                0.58472,                0.47659,                0.96461,              0.0002192,              0.0002192,              0.0002192
                     37,                0.56646,                0.54303,                0.96658,                0.95475,                 0.8958,                0.93661,                0.82387,                0.55783,                0.44065,                0.95039,             0.00020506,             0.00020506,             0.00020506
                     38,                0.54728,                0.52964,                0.97113,                0.97007,                 0.8999,                0.94631,                0.82412,                0.56233,                0.43248,                0.95131,             0.00019092,             0.00019092,             0.00019092
                     39,                0.55086,                 0.5372,                 0.9673,                0.95984,                  0.898,                0.94193,                 0.8266,                0.55284,                0.43814,                 0.9423,             0.00017679,             0.00017679,             0.00017679
                     40,                 0.5209,                0.51111,                0.95475,                0.95903,                 0.8964,                0.94259,                0.82675,                0.54047,                0.44464,                0.92612,             0.00016265,             0.00016265,             0.00016265
                     41,                0.49821,                0.49332,                 0.9447,                0.96131,                0.88745,                0.93756,                0.81419,                0.56007,                0.46035,                0.93868,             0.00014851,             0.00014851,             0.00014851
                     42,                0.47884,                0.45274,                0.93716,                0.95246,                0.91208,                0.93753,                0.81515,                0.55632,                0.45488,                0.95128,             0.00013437,             0.00013437,             0.00013437
                     43,                0.47261,                0.43212,                0.91063,                0.96457,                 0.9011,                0.93954,                0.82059,                 0.5425,                0.42338,                0.92373,             0.00012024,             0.00012024,             0.00012024
                     44,                0.45875,                0.42899,                0.91295,                0.97574,                 0.8973,                0.93899,                 0.8178,                0.54828,                0.41859,                0.93036,              0.0001061,              0.0001061,              0.0001061
                     45,                 0.4459,                 0.4026,                0.90529,                0.97313,                0.90009,                0.94402,                0.82699,                0.53066,                0.42107,                0.92179,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 0.4368,                 0.3997,                0.89798,                0.96852,                0.90662,                0.94332,                0.83315,                 0.5252,                0.41465,                0.91958,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.42992,                0.38861,                0.90029,                0.97564,                0.90155,                0.94397,                 0.8406,                0.51989,                0.39946,                 0.9152,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.42518,                0.38495,                0.88833,                0.96766,                0.90854,                0.93891,                0.83394,                0.52071,                0.39996,                 0.9119,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.40891,                0.37444,                0.88772,                0.96564,                0.91049,                0.93882,                0.83375,                 0.5132,                0.39944,                 0.9139,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.41374,                0.37388,                0.88883,                0.96574,                0.90924,                0.93794,                0.83033,                0.51685,                0.40038,                0.91036,             2.1277e-05,             2.1277e-05,             2.1277e-05
